GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo-project,com.example.myapplication,SecondFragment,48,0,0,0,12,0,6,0,6,0
demo-project,com.example.myapplication,FirstFragment,6,42,0,0,2,10,1,5,1,5
demo-project,com.example.myapplication,MainActivity.onPostCreate..inlined.AppBarConfiguration.default.new Function0() {...},3,0,0,0,1,0,1,0,1,0
demo-project,com.example.myapplication,MainActivity,29,48,4,0,6,10,4,2,2,2
demo-project,com.example.login.databinding,ActivityLoginBinding,109,0,10,0,34,0,10,0,5,0
demo-project,com.example.kmp,KMPObjectAndroid,0,9,0,0,0,1,0,2,0,2
demo-project,com.example.kmp,KMPObject,0,9,0,0,0,1,0,2,0,2
demo-project,com.example.kmp,MoshiObjAndroidJsonAdapter,173,0,16,0,29,0,13,0,4,0
demo-project,com.example.kmp,KMPObjectJVM,0,9,0,0,0,1,0,2,0,2
demo-project,com.example.kmp,MoshiObjJVMJsonAdapter,173,0,16,0,29,0,13,0,4,0
demo-project,com.example.kmp,MoshiObjJVM,21,0,0,0,3,0,3,0,3,0
demo-project,com.example.kmp,MoshiObjAndroid,21,0,0,0,3,0,3,0,3,0
demo-project,com.example.kmp,PlatformKt,0,5,0,0,0,1,0,2,0,2
demo-project,com.example.domain,MyUseCase,0,5,0,0,0,2,0,2,0,2
demo-project,com.example.login.ui.login,LoginViewModel,162,0,12,0,21,0,13,0,7,0
demo-project,com.example.login.ui.login,LoginActivityKt.afterTextChanged.new TextWatcher() {...},21,0,0,0,5,0,4,0,4,0
demo-project,com.example.login.ui.login,LoginActivityKt,14,0,0,0,2,0,1,0,1,0
demo-project,com.example.login.ui.login,LoggedInUserView,12,0,0,0,2,0,2,0,2,0
demo-project,com.example.login.ui.login,LoginActivity,269,0,14,0,62,0,17,0,10,0
demo-project,com.example.login.ui.login,LoginViewModelFactory,26,0,2,0,6,0,3,0,2,0
demo-project,com.example.login.ui.login,LoginFormState,42,0,0,0,5,0,5,0,5,0
demo-project,com.example.login.ui.login,LoginResult,30,0,0,0,4,0,4,0,4,0
demo-project,com.example.login.ui.data,Result,18,0,2,0,3,0,2,0,1,0
demo-project,com.example.login.ui.data,Result.Success,0,13,0,0,0,1,0,2,0,2
demo-project,com.example.login.ui.data,LoginRepository,61,0,4,0,15,0,9,0,7,0
demo-project,com.example.login.ui.data,Result.Error,13,0,0,0,1,0,2,0,2,0
demo-project,com.example.login.ui.data,LoginDataSource,13,26,0,0,3,4,1,2,1,2
demo-project,com.example.login.ui.data.model,LoggedInUser,3,18,0,0,0,3,1,2,1,2
demo-project,com.example.myapplication.databinding,FragmentFirstBinding,22,52,3,3,6,16,4,4,1,4
demo-project,com.example.myapplication.databinding,FragmentSecondBinding,74,0,6,0,22,0,8,0,5,0
demo-project,com.example.myapplication.databinding,ActivityMainBinding,17,57,3,3,5,17,3,5,0,5
